2017-09-07 16:46:37:2686	../../../files/testListWithPickListSize100.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
46	564.921	2199.13999999999	325.165	1873.64	489.626	1700.92	54.24	1851.48	44.028	2327.41999999999	145.949	1615.78	142.906	2028.4	0.001	1718.16	0.002
47	565.367	2280.09999999999	277.195	1883.02	532.198	2215.11999999999	51.401	1811.62	48.773	2312.31999999999	157.31	1661.5	197.795	2258.9	0.001	1849.08	0.002
48	565.304	2003.61999999999	250.289	1090.3	342.563	2287.33999999999	38.188	1352.24	39.452	2246.49999999999	102.475	1216.36	147.517	1977.12	0.001	1591.08	0.002
49	565.285	1852.68	358.727	1384.12	567.2	2028.97999999999	38.958	1588.28	42.297	2042.05999999999	97.396	1873.5	141.987	2330.84	0.001	1761.46	0.002
50	565.001	2238.79999999999	345.782	1650.96	762.705	2005.87999999999	38.67	1749.76	42.686	2488.45999999999	110.372	1898.76	136.509	2209.24	0.001	1827.6	0.002
51	564.57	2064.11999999999	241.807	1948.05999999999	485.69	2001.75999999999	51.677	1488.84	42.825	2015.57999999999	130.214	1656.64	145.856	1982.32	0.001	1677	0.002
52	565.828	2389.53999999999	237.459	1657.18	517.088	2067.83999999999	39.127	1176.9	57.339	2106.89999999999	146.397	1517.2	141.917	2115.2	0.001	1772.88	0.002
53	565.712	2016.97999999999	219.213	1628.86	534.849	1761.1	55.886	1584.68	52.896	2284.99999999999	113.37	1688.26	165.667	2220.12	0.001	1777.06	0.002
54	566.068	2276.39999999999	346.64	1327.34	563.179	1920.41999999999	46.667	1394.12	41.168	2358.33999999999	86.222	1515.12	94.874	2231.2	0.001	1843.54	0.002
55	565.127	2490.83999999999	186.03	1659.78	560.672	2302.41999999999	71.594	1470.8	68.749	2519.21999999998	110.735	1500.76	136.844	2170.6	0.001	1871.92	0.002
56	565.85	2286.45999999999	367.259	1731.12	498.777	2014.97999999999	33.361	1717.64	54.033	2404.21999999999	176.607	1621.58	147.689	1971.92	0.001	1695.32	0.002
57	565.999	2505.61999999998	206.926	1797.27999999999	444.503	2239.15999999999	28.649	1731.38	45.674	2267.01999999999	110.972	1806.76	153.375	2297.4	0.001	1850.44	0.002
58	565.608	2313.67999999999	285.353	1598.62	611.708	1921.61999999999	47.883	1571.64	47.721	2195.47999999999	102.263	1604.5	177.433	2148.58	0.001	1799.22	0.002
59	565.844	2222.81999999999	301.266	1401.6	623.18	1952.91999999999	65.743	1161.58	70.882	2276.51999999999	145.406	1552.6	156.217	2098.38	0.001	1672.82	0.002
60	565.875	1924.53999999999	395.196	1635.24	492.056	1952.33999999999	54.132	1384.94	45.751	1832.8	130.553	1427.6	170.948	2033.06	0.001	1696	0.002
61	566.506	2394.31999999999	233.03	1585.5	557.711	2073.16	40.924	1605.92	60.533	2337.09999999999	134.583	1751.16	136.879	2209.58	0.001	1717.82	0.002
62	566.287	2476.43999999999	367.146	1691	387.855	2051.37999999999	49.29	1586.94	42.912	1941.49999999999	117.807	1535.26	161.136	1983	0.001	1849.76	0.002
63	563.831	2309.63999999999	228.353	1803.62	498.516	1990.81999999999	57.86	1390.14	61.092	2270.95999999999	129.671	1437.96	150.693	2148.92	0.001	1772.54	0.002
64	563.707	2184.15999999999	292.096	1974.19999999999	426.275	1912.57999999999	43.295	1772.15999999999	57.506	2471.87999999999	91.777	1659.28	174.228	2137.84	0.001	1878.48	0.002
65	564.331	2505.45999999998	268.341	1690.14	482.994	2045.59999999999	38.064	1661.64	49.836	2510.29999999998	136.802	1492.48	164.474	2291.86	0.001	1810.64	0.002
66	562.293	2298.59999999999	253.362	1915.98	586.44	2248.49999999999	37.695	1398.48	37.487	1991.81999999999	139.574	1814.94	199.673	2198.3	0.001	1834.16	0.002
67	563.985	1965.26	284.218	1384.36	610.453	1538.86	42.298	1310.68	54.768	2126.95999999999	191.185	1631.18	170.267	1994.08	0.001	1755.58	0.002
68	563.828	2201.41999999999	312.375	1702.04	550.236	2236.49999999999	35.695	1641	37.087	1782.16	127.701	1459.18	140.817	2104.06	0.001	1794.36	0.002
69	591.162	2149.11999999999	240.545	1250.42	647.579	1820.33999999999	39.655	1538.16	58.497	2125.45999999999	112.2	1402.48	191.61	2004.82	0.001	1733.42	0.002
70	561.889	2075.53999999999	376.704	1666.88	687.783	2126.37999999999	37.09	1356.22	49.745	2322.71999999999	131.955	1411.76	139.462	2214.72	0.001	1776.72	0.002
71	560.339	2408.05999999999	226.986	1748.22	463.956	1913.26	63.931	1797.3	53.358	2429.01999999999	114.007	1655.3	213.456	2247.68	0.001	1843.88	0.002
72	562.693	2077.33999999999	309.453	1815.45999999999	617.073	2030.89999999999	27.151	1416.38	73.64	2204.09999999999	156.745	1719.82	149.099	2153.98	0.001	1871.92	0.002
73	560.739	2035.67999999999	288.811	1506.94	491.193	2354.69999999999	32.655	1406.36	55.709	2104.77999999999	192.09	1549.3	215.118	1893.82	0.001	1665.92	0.002
74	561.345	2050.48	358.879	1314.62	466.083	1768.83999999999	45.453	1486.68	41.965	2286.41999999999	144.635	1584.56	145.775	2020.96	0.001	1682.54	0.002
75	561.083	2391.99999999999	269.762	1655.9	599.788	2074.55999999999	41.577	1507.1	64.157	2053.45999999999	138.74	1448.62	125.852	2225.52	0.001	1799.56	0.002
76	561.266	2484.21999999999	244.009	1864.22	634.228	1991.51999999999	46.03	1648.34	66.423	2313.47999999999	147.849	1801.75999999999	137.638	2219.98	0.001	1771.52	0.002
77	561.375	2196.63999999999	230.202	1270.86	425.21	1869.95999999999	31.763	1548.2	32.821	2197.77999999999	90.155	1376	179.063	2043.12	0.001	1600.12	0.002
78	561.52	2145.37999999999	321.72	1679.88	503.628	2073.84	43.811	1230.46	53.994	2224.13999999999	122.293	1556.38	168.058	2038.4	0.001	1722.34	0.002
79	560.734	2194.17999999999	162.053	1626.72	585.533	1523.62	42.847	1536.66	47.804	2038.99999999999	148.246	1669	174.653	1927.4	0.001	1562.7	0.002
80	561.835	2112.71999999999	307.658	1513.34	490.713	1833.65999999999	43.661	1506.28	33.965	1899.61999999999	127.529	1567.96	184.966	2208.9	0.001	1810.64	0.002
81	560.94	2006.57999999999	273.008	1416.14	573.621	2055.11999999999	30.058	1762.64	38.449	1828.55999999999	130.933	1477.12	165.121	1933.48	0.001	1746.2	0.002
82	561.32	2567.01999999999	282.077	1774.08	516.72	1835.79999999999	42.969	1485.14	50.559	2289.87999999999	141.97	1785.58	137.29	2175.8	0.001	1783.62	0.002
83	562.229	1995.97999999999	379.299	1554.96	444.902	1927.69999999999	41.346	1751.11999999999	47.435	2237.75999999999	120.687	1703.26	131.987	2032.52	0.001	1716.12	0.002
84	561.165	2465.15999999999	261.731	1539.42	584.61	2093.11999999999	39.701	1807.42	40.338	2542.55999999999	152.105	1642.46	144.359	2187.22	0.001	1854.96	0.002
85	561.029	2385.39999999999	337.663	1535.7	560.007	2053.21999999999	29.684	1526.6	71.2	2070.87999999999	135.477	1412.02	102.539	1993.74	0.001	1695.32	0.002
86	561.519	2020.11999999999	247.692	1911.69999999999	409.258	2245.09999999999	40.423	1741.54	59.763	2418.63999999999	143.073	1835.09999999999	131.508	2094.4	0.001	1768.02	0.002
87	561.384	1992.71999999999	221.301	1508.86	553.883	2072.87999999999	46.052	1535.2	64.654	1999.93999999999	81.424	1701.7	190.238	2187.56	0.001	1744.84	0.002
88	561.483	2282.13999999999	201.706	1549.84	534.103	2059.23999999999	34.291	1433.86	57.783	2279.29999999999	116.262	1638.28	130.562	2214.78	0.001	1885.04	0.002
89	561.903	2399.63999999999	229.489	1688.2	734.34	2136.91999999999	40.634	1647.38	52.649	2286.41999999999	168.724	1557.8	169.085	2203.98	0.001	1805.78	0.003
90	562.819	2336.97999999999	204.453	1692.52	598.44	2207.03999999999	51.114	1352.38	58.064	2078.59999999999	141.742	1701.5	141.174	2131.48	0.001	1921.44	0.002
91	560.906	1978.1	247.233	1724.3	472.18	2395.31999999999	35.83	1675.26	36.532	2608.51999999999	113.388	1790.14	155.092	2164.86	0.001	1833.14	0.002
92	561.457	2293.19999999999	216.9	1421.68	601.548	2076.33999999999	28.859	1466.8	36.807	2379.37999999999	113.73	1509.7	202.997	2120.88	0.001	1805.78	0.003
93	560.884	2380.73999999999	234.065	1565.74	406.509	2062.11999999999	34.778	1695.28	48.802	2170.89999999999	135.377	1485.64	156.023	2259.24	0.001	1789.84	0.002
94	562.225	2445.87999999999	191.677	1784.32	592.533	2085.33999999999	76.016	1449.04	48.869	2178.51999999999	112.924	1486.8	183.447	2032.04	0.001	1778.08	0.002
95	562.09	2552.77999999999	210.895	1981.23999999999	368.149	1806.3	61.204	1515.72	42.074	2593.65999999999	117.402	1762.18	152.694	2181.2	0.001	1832.8	0.002
96	562.221	2370.65999999999	249.182	1869.7	455.995	2181.09999999999	33.971	1658.06	70.693	2191.21999999999	146.782	1824.26	149.726	2176.28	0.001	1772.2	0.002
97	562.763	2589.95999999999	323.715	1719.36	611.404	2248.83999999999	69.11	1872.08	39.697	2149.05999999999	124.231	1827.08	106.297	2060.08	0.001	1778.08	0.002
98	561.469	1991.21999999999	244.931	1466.24	577.603	2031.89999999999	54.953	1269.62	62.701	2106.83999999999	119.501	1272.54	163.471	1988.2	0.001	1629.52	0.002
99	561.496	2324.75999999999	229.184	1325.02	599.251	2087.05999999999	31.489	1323.18	58.936	2185.85999999999	107.542	1612.72	126.025	2220.32	0.001	1783.62	0.002
100	562.076	2520.59999999999	358.199	1580.98	387.648	2143.59999999999	50.035	2002.54	59.8	2221.61999999999	95.454	1632.24	126.215	2104.8	0.001	1735.46	0.002
101	563.125	2245.45999999999	271.843	1664.42	643.759	2253.25999999999	55.358	1606.04	55.37	2195.77999999999	164.726	1696.7	157.206	2087.3	0.001	1915.9	0.002
102	564.336	2517.45999999999	262.191	1732.45999999999	439.869	2274.19999999999	42.612	1655.94	46.907	2358.53999999999	174.507	1413.08	182.876	2175.8	0.001	1793.34	0.002
103	564.026	2451.55999999999	278.061	1540.7	468.779	1586.43999999999	52.505	1488.76	58.514	2033.35999999999	112.442	1560.48	117.126	2297.4	0.001	1822.06	0.002
104	563.068	2237.47999999999	253.539	1481.12	596.746	1999.47999999999	40.825	1112.5	45.317	1985.01999999999	172.68	1525.92	160.576	2082.24	0.001	1771.86	0.002
105	564.278	2706.27999999999	235.454	1872.96	410.185	2346.99999999999	55.781	1715.16	70.817	2346.87999999999	130.305	1878.3	152.864	2203.5	0.001	1921.44	0.002
106	563.618	2273.55999999999	356.274	1570.44	625.272	2122.05999999999	24.668	1715.87999999999	42.374	2227.59999999999	101.112	1724.2	208.409	2120.4	0.001	1738.28	0.002
